job_id,job_role,company,experience,salary,location,rating,reviews,resposibilities,posted_on,job_link,company_link
060123007290,Solution Architect,Tech Mahindra,10-17 Yrs,Not disclosed,"Hybrid - Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",3.7,21417 Reviews,"java,Spring,Microservices,GCP,communication,Azure,Kubernetes,Apigee",1 Day Ago,https://www.naukri.com/job-listings-solution-architect-tech-mahindra-pune-chennai-bangalore-bengaluru-delhi-ncr-mumbai-all-areas-10-to-17-years-060123007290,https://www.naukri.com/tech-mahindra-jobs-careers-1066
050123007369,Hexaware is hiring Peoplesoft HCM Technical Consultant,Hexaware Technologies,4-9 Yrs,Not disclosed,"Hybrid - Noida, Pune, Chennai, Bangalore/Bengaluru, Mumbai (All Areas)",3.7,3172 Reviews,"sqr,PeopleSoft Hcm,Peopletools,HCM,Communication",2 Days Ago,https://www.naukri.com/job-listings-hexaware-is-hiring-peoplesoft-hcm-technical-consultant-hexaware-technologies-noida-pune-chennai-bangalore-bengaluru-mumbai-all-areas-4-to-9-years-050123007369,https://www.naukri.com/hexaware-technologies-jobs-careers-9815
050123007147,Hexaware is hiring Peoplesoft HCM Consultant,Hexaware Technologies,7-12 Yrs,Not disclosed,"Hybrid - Noida, Pune, Chennai, Bangalore/Bengaluru, Mumbai (All Areas)",3.7,3172 Reviews,"peopletools,SOR,Workforce,NA payroll,Workforce administration,SQR,communication",2 Days Ago,https://www.naukri.com/job-listings-hexaware-is-hiring-peoplesoft-hcm-consultant-hexaware-technologies-noida-pune-chennai-bangalore-bengaluru-mumbai-all-areas-7-to-12-years-050123007147,https://www.naukri.com/hexaware-technologies-jobs-careers-9815
061222006824,"SQL Developer, SSIS Developer with Hexaware!!!",Hexaware Technologies,5-9 Yrs,Not disclosed,"Hybrid - Pune, Chennai, Bangalore/Bengaluru, Mumbai (All Areas)",3.7,3172 Reviews,"VSTS,communication,MS SQL,Azure DevOps,NET,JIRA,Agile,INFORMATICA",2 Days Ago,https://www.naukri.com/job-listings-sql-developer-ssis-developer-with-hexaware-hexaware-technologies-pune-chennai-bangalore-bengaluru-mumbai-all-areas-5-to-9-years-061222006824,https://www.naukri.com/hexaware-technologies-jobs-careers-9815
060123006615,.Net Fullstack Developer,Citiustech,3-8 Yrs,"7,00,000 - 17,00,000 PA.","Hybrid - Pune, Bangalore/Bengaluru, Mumbai (All Areas)",4.0,742 Reviews,"c#,.net core,javascript,Microservices,Angular,CSS,Asp Net,ASP NET MVC",1 Day Ago,https://www.naukri.com/job-listings-net-fullstack-developer-citiustech-pune-bangalore-bengaluru-mumbai-all-areas-3-to-8-years-060123006615,https://www.naukri.com/citiustech-jobs-careers-142075
050123500527,Firmware Architect / Lead,Tata Elxsi,9-15 Yrs,Not disclosed,"Mumbai, Pune, Bangalore/Bengaluru",4.1,980 Reviews,"RTOS,VXWorks,Multithreading,Linux,Debugging,Application development,Firmware,MATLAB",2 Days Ago,https://www.naukri.com/job-listings-firmware-architect-lead-tata-elxsi-ltd-mumbai-pune-bangalore-bengaluru-9-to-15-years-050123500527,https://www.naukri.com/tata-elxsi-jobs-careers-1533
050123500374,Technical Specialist - I Java,Citiustech,9-15 Yrs,Not disclosed,"Mumbai, Pune, Bangalore/Bengaluru",4.0,742 Reviews,"Agile,WSDL,SOAP,Jenkins,Restful,Bitbucket,Unit testing,Angular Source Control software",2 Days Ago,https://www.naukri.com/job-listings-technical-specialist-i-java-citiustech-mumbai-pune-bangalore-bengaluru-9-to-15-years-050123500374,https://www.naukri.com/citiustech-jobs-careers-142075
050123009833,ADF Databricks Developer,Hexaware Technologies,5-9 Yrs,Not disclosed,"Hybrid - Pune, Chennai, Bangalore/Bengaluru, Mumbai (All Areas)",3.7,3172 Reviews,"azure databricks,ADF,pyspark,Azure data lake,Azure,Data Bricks,SQL",2 Days Ago,https://www.naukri.com/job-listings-adf-databricks-developer-hexaware-technologies-pune-chennai-bangalore-bengaluru-mumbai-all-areas-5-to-9-years-050123009833,https://www.naukri.com/hexaware-technologies-jobs-careers-9815
050123006488,Hexaware Job Openings - Guidewire ClaimCenter Cloud Migration/Upgrade,Hexaware Technologies,3-8 Yrs,Not disclosed,"Hybrid - Pune, Chennai, Bangalore/Bengaluru, Mumbai (All Areas)",3.7,3172 Reviews,"Guidewire,cc,Claim Center,Cloud,migration,Upgrade",2 Days Ago,https://www.naukri.com/job-listings-hexaware-openings-guidewire-claimcenter-cloud-migration-upgrade-hexaware-technologies-pune-chennai-bangalore-bengaluru-mumbai-all-areas-3-to-8-years-050123006488,https://www.naukri.com/hexaware-technologies-jobs-careers-9815
011222009693,Senior (BI) Business Intelligence Architect,Hexaware Technologies,10-13 Yrs,Not disclosed,"Hybrid - Pune, Chennai, Bangalore/Bengaluru, Mumbai (All Areas)",3.7,3172 Reviews,"Informatica Mdm,etl,business intelligence,Agile,MDM,Informatica,BI Space,SAP BODI",Today,https://www.naukri.com/job-listings-senior-bi-business-intelligence-architect-hexaware-technologies-pune-chennai-bangalore-bengaluru-mumbai-all-areas-10-to-13-years-011222009693,https://www.naukri.com/hexaware-technologies-jobs-careers-9815
