Bat_Test_M,Bat_Test_Inn,Bat_Test_NO,Bat_Test_Runs,Bat_Test_HS,Bat_Test_Avg,Bat_Test_BF,Bat_Test_SR,Bat_Test_100,Bat_Test_200,Bat_Test_50,Bat_Test_4s,Bat_Test_6s,Bat_ODI_M,Bat_ODI_Inn,Bat_ODI_NO,Bat_ODI_Runs,Bat_ODI_HS,Bat_ODI_Avg,Bat_ODI_BF,Bat_ODI_SR,Bat_ODI_100,Bat_ODI_200,Bat_ODI_50,Bat_ODI_4s,Bat_ODI_6s,Bat_T20I_M,Bat_T20I_Inn,Bat_T20I_NO,Bat_T20I_Runs,Bat_T20I_HS,Bat_T20I_Avg,Bat_T20I_BF,Bat_T20I_SR,Bat_T20I_100,Bat_T20I_200,Bat_T20I_50,Bat_T20I_4s,Bat_T20I_6s,Bat_IPL_M,Bat_IPL_Inn,Bat_IPL_NO,Bat_IPL_Runs,Bat_IPL_HS,Bat_IPL_Avg,Bat_IPL_BF,Bat_IPL_SR,Bat_IPL_100,Bat_IPL_200,Bat_IPL_50,Bat_IPL_4s,Bat_IPL_6s
-,-,-,-,-,-,-,-,-,-,-,-,-,5,5,2,26,14,8.67,38,68.42,0,0,0,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,6,6,1,172,45,34.4,240,71.67,0,0,0,14,3,16,15,2,287,49,22.08,262,109.54,0,0,0,27,11,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,41,41,2,1336,117,34.26,1545,86.47,2,0,11,133,28,31,31,2,854,62,29.45,702,121.65,0,0,6,65,37,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,32,30,4,764,109,29.38,1255,60.88,1,0,3,54,2,15,13,2,263,51,23.91,235,111.91,0,0,1,22,4,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,35,35,0,941,115,26.89,1492,63.07,2,0,5,95,13,31,31,3,819,88,29.25,710,115.35,0,0,7,84,18,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,16,16,0,344,92,21.5,387,88.89,0,0,2,38,9,12,12,0,238,75,19.83,185,128.65,0,0,3,32,6,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,9,9,1,191,59,23.88,252,75.79,0,0,1,12,7,19,15,7,136,20,17.0,114,119.3,0,0,0,9,6,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,2,47,37,47.0,100,47.0,0,0,0,6,0,1,1,0,11,11,11.0,12,91.67,0,0,0,2,0,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,58,53,3,1192,109,23.84,1820,65.49,1,0,6,102,21,54,50,4,980,77,21.3,809,121.14,0,0,4,104,27,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,54,41,7,409,50,12.03,674,60.68,0,0,1,29,8,54,20,10,122,22,12.2,147,82.99,0,0,0,3,5,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,40,35,10,401,45,16.04,327,122.63,0,0,0,41,21,30,23,10,172,27,13.23,145,118.62,0,0,0,16,8,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,24,23,0,500,90,21.74,800,62.5,0,0,4,49,3,16,14,3,208,58,18.91,182,114.29,0,0,1,24,4,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,21,14,7,58,18,8.29,136,42.65,0,0,0,2,0,10,2,2,4,4,0.0,8,50.0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,11,6,4,9,4,4.5,31,29.03,0,0,0,1,0,10,4,3,7,5,7.0,12,58.33,0,0,0,1,0,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,3,2,0,18,11,9.0,42,42.86,0,0,0,2,0,22,16,5,64,18,5.82,67,95.52,0,0,0,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,9,6,3,31,24,10.33,73,42.47,0,0,0,1,1,4,2,0,3,3,1.5,6,50.0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-
