Bal_Test_M,Bal_Test_Inn,Bal_Test_B,Bal_Test_Runs,Bal_Test_Wkts,Bal_Test_BBI,Bal_Test_BBM,Bal_Test_Econ,Bal_Test_Avg,Bal_Test_SR,Bal_Test_5W,Bal_Test_10W,Bal_ODI_M,Bal_ODI_Inn,Bal_ODI_B,Bal_ODI_Runs,Bal_ODI_Wkts,Bal_ODI_BBI,Bal_ODI_BBM,Bal_ODI_Econ,Bal_ODI_Avg,Bal_ODI_SR,Bal_ODI_5W,Bal_ODI_10W,Bal_T20I_M,Bal_T20I_Inn,Bal_T20I_B,Bal_T20I_Runs,Bal_T20I_Wkts,Bal_T20I_BBI,Bal_T20I_BBM,Bal_T20I_Econ,Bal_T20I_Avg,Bal_T20I_SR,Bal_T20I_5W,Bal_T20I_10W,Bal_IPL_M,Bal_IPL_Inn,Bal_IPL_B,Bal_IPL_Runs,Bal_IPL_Wkts,Bal_IPL_BBI,Bal_IPL_BBM,Bal_IPL_Econ,Bal_IPL_Avg,Bal_IPL_SR,Bal_IPL_5W,Bal_IPL_10W
1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,9,462,341,8,4/127,4/127,4.43,42.62,57.75,0,0,127,100,3236,3007,60,4/46,4/46,5.58,50.12,53.93,0,0,98,66,865,1076,39,3/10,3/10,7.46,27.59,22.18,0,0,110,66,786,1080,28,2/15,2/15,8.24,38.57,28.07,0,0
-,-,-,-,-,-,-,-,-,-,-,-,57,51,1656,1647,37,3/16,3/16,5.97,44.51,44.76,0,0,51,29,428,614,18,3/34,3/34,8.61,34.11,23.78,0,0,67,50,654,1048,34,4/15,4/15,9.61,30.82,19.24,0,0
4,4,330,164,2,1/48,1/48,2.98,82.0,165.0,0,0,16,12,402,347,8,3/32,3/32,5.18,43.38,50.25,0,0,24,10,138,194,7,3/22,3/22,8.43,27.71,19.71,0,0,62,60,950,1289,42,3/12,3/12,8.14,30.69,22.62,0,0
30,38,1140,702,13,3/45,5/119,3.69,54.00,87.69,0,0,27,9,185,197,2,2/19,2/19,6.39,98.5,92.5,0,0,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
30,16,347,190,6,4/10,4/10,3.33,31.67,57.83,0,0,51,30,843,818,14,2/22,2/22,5.82,58.43,60.21,0,0,17,4,36,56,1,1/16,1/16,9.33,56.0,36.0,0,0,10,5,48,81,2,2/30,2/30,10.12,40.5,24.0,0,0
2,2,144,61,2,1/28,2/61,2.54,30.5,72.0,0,0,2,2,100,120,2,2/46,2/46,7.2,60.0,50.0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,1,1,24,62,0,0/62,0/62,15.5,0.0,0.0,0,0
4,8,874,410,9,3/46,5/101,2.81,45.56,97.11,0,0,20,20,984,877,18,2/31,2/31,5.35,48.72,54.67,0,0,47,47,994,1073,48,6/30,6/30,6.48,22.35,20.71,2,0,-,-,-,-,-,-,-,-,-,-,-,-
16,25,1324,594,17,3/21,4/66,2.7,34.94,77.88,0,0,13,13,384,322,11,5/33,5/33,5.03,29.27,34.91,1,0,8,7,120,178,5,2/16,2/16,8.9,35.6,24.0,0,0,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,10,180,305,7,2/33,2/33,10.17,43.57,25.71,0,0,16,16,360,523,14,4/30,4/30,8.72,37.36,25.71,0,0
-,-,-,-,-,-,-,-,-,-,-,-,8,8,342,311,9,2/1,2/1,5.46,34.56,38.0,0,0,9,9,138,189,5,2/14,2/14,8.22,37.8,27.6,0,0,3,3,54,104,1,1/47,1/47,11.56,104.0,54.0,0,0
12,-,-,-,-,-,-,-,-,-,-,-,62,-,-,-,-,-,-,-,-,-,-,-,38,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-
36,4,30,28,0,0/0,0/0,5.6,0.0,0.0,0,0,97,-,-,-,-,-,-,-,-,-,-,-,75,-,-,-,-,-,-,-,-,-,-,-,13,-,-,-,-,-,-,-,-,-,-,-
35,-,-,-,-,-,-,-,-,-,-,-,35,-,-,-,-,-,-,-,-,-,-,-,12,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-
44,82,9529,4345,202,6/23,10/62,2.74,21.51,47.17,7,1,75,75,3938,3424,124,5/70,5/70,5.22,27.61,31.76,1,0,50,50,1098,1350,55,3/15,3/15,7.38,24.55,19.96,0,0,42,42,953,1357,45,4/34,4/34,8.54,30.16,21.18,0,0
112,209,28972,14236,446,8/50,13/154,2.95,31.92,64.96,21,3,29,29,1626,1334,29,4/44,4/44,4.92,46.0,56.07,0,0,2,2,30,48,1,1/33,1/33,9.6,48.0,30.0,0,0,-,-,-,-,-,-,-,-,-,-,-,-
73,138,14614,8045,291,6/50,11/94,3.3,27.65,50.22,13,2,107,107,5509,4671,211,6/28,6/28,5.09,22.14,26.11,8,0,58,58,1314,1673,73,4/20,4/20,7.64,22.92,18.0,0,0,27,26,580,693,34,4/15,4/15,7.17,20.38,17.06,0,0
-,-,-,-,-,-,-,-,-,-,-,-,76,76,4014,3641,127,5/35,5/35,5.44,28.67,31.61,1,0,72,71,1541,1781,82,5/19,5/19,6.93,21.72,18.79,1,0,14,14,287,370,21,6/19,6/19,7.74,17.62,13.67,1,0
58,109,12493,5678,217,6/67,9/115,2.73,26.17,57.57,9,0,69,68,3626,2766,108,6/52,6/52,4.58,25.61,33.57,3,0,41,41,922,1181,58,4/12,4/12,7.69,20.36,15.9,0,0,24,24,549,734,32,4/25,4/25,8.02,22.94,17.16,0,0
-,-,-,-,-,-,-,-,-,-,-,-,7,7,387,392,12,5/46,5/46,6.08,32.67,32.25,1,0,32,31,683,997,47,4/23,4/23,8.76,21.21,14.53,0,0,30,30,684,979,42,5/17,5/17,8.59,23.31,16.29,1,0
21,38,3963,2133,81,5/27,8/105,3.23,26.33,48.93,4,0,15,15,727,681,16,4/51,4/51,5.62,42.56,45.44,0,0,4,4,78,104,3,2/17,2/17,8.0,34.67,26.0,0,0,10,10,213,320,11,2/19,2/19,9.01,29.09,19.36,0,0
