name,team,date_of_birth,palce_of_birth,role,height,test_bat_rank,odi_bat_rank,t20_bat_rank,test_bow_rank,odi_bow_rank,t20_bow_rank,link,bat_path,bow_path
Aiden Markram,South Africa,"Oct 04, 1994 (28 years)",Centurion,Batsman,--,53,55,5,--,--,--,https://www.cricbuzz.com/profiles/9582/aiden-markram,Scores/bat_9582.csv,Scores/bow_9582.csv
Rassie van der Dussen,South Africa,"Feb 07, 1989 (33 years)","Pretoria, Transvaal",Batsman,--,48,3,23,--,--,--,https://www.cricbuzz.com/profiles/9554/rassie-van-der-dussen,Scores/bat_9554.csv,Scores/bow_9554.csv
Jean-Paul Duminy,South Africa,"Apr 14, 1984 (38 years)","Strandfontein, Cape Town, Cape Province",Batting Allrounder,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/211/jean-paul-duminy,Scores/bat_211.csv,Scores/bow_211.csv
Andile Phehlukwayo,South Africa,"Mar 03, 1996 (26 years)",Durban,Bowling Allrounder,--,--,--,--,--,72,--,https://www.cricbuzz.com/profiles/9601/andile-phehlukwayo,Scores/bat_9601.csv,Scores/bow_9601.csv
Dwaine Pretorius,South Africa,"Mar 29, 1989 (33 years)",Randfontein,Bowling Allrounder,--,--,--,--,--,51,38,https://www.cricbuzz.com/profiles/8651/dwaine-pretorius,Scores/bat_8651.csv,Scores/bow_8651.csv
Chris Morris,South Africa,"Apr 30, 1987 (35 years)","Pretoria, Transvaal",Bowling Allrounder,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/8333/chris-morris,Scores/bat_8333.csv,Scores/bow_8333.csv
Quinton de Kock,South Africa,"Dec 17, 1992 (29 years)","Johannesburg, Gauteng",WK-Batsman,--,--,4,15,--,--,--,https://www.cricbuzz.com/profiles/8520/quinton-de-kock,Scores/bat_8520.csv,Scores/bow_8520.csv
Imran Tahir,South Africa,"Mar 27, 1979 (43 years)","Lahore, Punjab",Bowler,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/6667/imran-tahir,Scores/bat_6667.csv,Scores/bow_6667.csv
Kagiso Rabada,South Africa,"May 25, 1995 (27 years)",Johannesburg,Bowler,--,--,--,--,6,15,42,https://www.cricbuzz.com/profiles/9585/kagiso-rabada,Scores/bat_9585.csv,Scores/bow_9585.csv
Lungi Ngidi,South Africa,"Mar 29, 1996 (26 years)","Durban, Natal",Bowler,--,--,--,--,27,20,33,https://www.cricbuzz.com/profiles/9603/lungi-ngidi,Scores/bat_9603.csv,Scores/bow_9603.csv
Tabraiz Shamsi,South Africa,"Feb 18, 1990 (32 years)","Johannesburg, Gauteng",Bowler,--,--,--,--,--,32,6,https://www.cricbuzz.com/profiles/10173/tabraiz-shamsi,Scores/bat_10173.csv,Scores/bow_10173.csv
